capacity,net_size,arrival_d0,arrival_d1,service_s,service_p,arrival_mean,arrival_rate,arrival_cv,arrival_skew,arrival_lag1,arrival_order,service_mean,service_rate,service_cv,service_skew,service_order,busy
3,2,"[[-0.04629222  0.        ]
 [ 0.         -0.69245508]]","[[4.62922169e-02 1.97588497e-17]
 [1.04762330e-16 6.92455076e-01]]","[[-0.82567341  0.        ]
 [ 0.         -2.16309588]]",[0.53079176 0.46920824],8.342128966522415,0.11987347642467223,1.9049051525466043,3.4411189915094442,0.36220822606400765,2,0.8597743495031578,1.1630958757700496,1.1738187384941448,2.600742566309281,2,0.10306414021570469
1,4,"[[-0.23144726  0.        ]
 [ 0.         -1.99206405]]","[[0.20261831 0.02882894]
 [0.03790986 1.95415419]]","[[-0.18801301  0.        ]
 [ 0.         -1.93348479]]",[0.1153899 0.8846101],1.0080897483346436,0.9919751705163079,2.07348745232891,5.536009567146257,0.3286074295807212,2,1.0712547286972098,0.933484794243228,2.258628786021741,5.991132046127474,2,1.062658092165816
5,5,"[[-0.72547073  0.        ]
 [ 0.         -2.07352336]]","[[0.72547073 0.        ]
 [0.         2.07352336]]","[[-0.16921917  0.        ]
 [ 0.         -1.80017505]]",[0.12966487 0.87033513],0.9303431330815497,1.0748722320201665,1.2099241302433774,2.700668126734831,0.15845044178945644,2,1.2497265383444511,0.8001750537559432,2.2677126526466047,5.684338746692354,2,1.3432963536851361
5,6,"[[-0.6740227   0.        ]
 [ 0.         -1.80724374]]","[[6.74022696e-01 1.73170813e-16]
 [1.06097273e-15 1.80724374e+00]]","[[-0.5157708   0.        ]
 [ 0.         -2.21733605]]",[0.24899903 0.75100097],1.2246914958485746,0.8165321661739078,1.1098687706293124,2.308942765276501,0.09409281257431418,2,0.8214658549216552,1.2173360511683982,1.4922807354292398,3.8240793048086914,2,0.6707532939570802
0,10,"[[-1.625681    0.        ]
 [ 0.         -4.00000236]]","[[1.62568100e+00 1.21263503e-17]
 [3.73156148e-16 4.00000236e+00]]","[[-2.18287334  0.        ]
 [ 0.         -4.07607865]]",[0.37482918 0.62517082],0.24999985229246163,4.00000236332201,1.0,1.9999999999999991,2.2204460492503136e-16,2,0.3250892175014739,3.076078645996514,1.0957989137686561,2.5105064751643438,2,1.3003576382963986
4,7,"[[-0.84888542  0.        ]
 [ 0.         -1.96778343]]","[[8.48885421e-01 1.04155338e-16]
 [9.35172484e-16 1.96778343e+00]]","[[-2.49318879  2.49318879]
 [ 0.         -2.49318879]]",[1. 0.],1.0330120688973181,0.9680429010548186,1.0689389333242525,2.2093079483532474,0.06241319931048455,2,0.8021855428865153,1.2465943931146979,0.7071067811865475,1.4142135623730951,2,0.7765500201200969
3,10,"[[-0.23224342  0.        ]
 [ 0.         -1.99753126]]","[[0.1580396  0.07420382]
 [0.09710457 1.90042669]]","[[-0.22882561  0.        ]
 [ 0.         -1.92685842]]",[0.14539355 0.85460645],1.0031154192602472,0.9968942564330786,2.073312146109388,5.544668072018019,0.2424416227166182,2,1.0789134305939834,0.9268584222271304,2.041150442538431,5.296827301144215,2,1.075562602147651
5,3,"[[-0.4557163   0.        ]
 [ 0.         -1.99977829]]","[[0.40226099 0.05345531]
 [0.09830531 1.90147298]]","[[-3.8918103  3.8918103  0.         0.       ]
 [ 0.        -3.8918103  3.8918103  0.       ]
 [ 0.         0.        -3.8918103  3.8918103]
 [ 0.         0.         0.        -3.8918103]]",[1. 0. 0. 0.],1.0004121172877591,0.9995880524829343,1.48114924705743,3.584035517025397,0.22679461078654184,2,1.0277993255254958,0.9729525746562613,0.5,1.000000000000001,4,1.0273759261453037
1,5,"[[-0.25018998  0.        ]
 [ 0.         -2.00094538]]","[[0.04382483 0.20636516]
 [0.27536767 1.72557771]]","[[-0.46367207  0.        ]
 [ 0.         -2.79047214]]",[0.11129722 0.88870278],0.9998198295142329,1.0001802029530207,1.999639778478277,5.310167583096056,0.01407858512466664,2,0.558511900922683,1.7904721427564243,1.7466857668174989,5.574541680615029,2,0.5586125464165265
2,4,[[-1.47378203]],[[1.47378203]],"[[-0.25120746  0.        ]
 [ 0.         -2.13935081]]",[0.11677237 0.88322763],0.6785263890172101,1.473782031452628,1.0,2.0000000000000004,0.0,1,0.8776927940044035,1.139350814807969,2.074899012830552,5.849521979124148,2,1.2935278689391427
4,7,"[[-0.45360054  0.        ]
 [ 0.         -2.18016052]]","[[4.53600536e-01 2.86847890e-15]
 [4.10133917e-15 2.18016052e+00]]","[[-0.57551562  0.        ]
 [ 0.         -2.20982283]]",[0.29107281 0.70892719],0.8415563255773627,1.1882745926886529,1.5728165715521005,4.110228212295518,0.29787787679659655,2,0.8265673093260948,1.2098228283614385,1.4133311656915237,3.5170307973094337,2,0.982188932819221
0,10,"[[-2.15540954  2.15540674]
 [ 0.         -2.15541501]]","[[2.80552098e-06 0.00000000e+00]
 [2.15541501e+00 1.24476215e-17]]","[[-0.62963628  0.        ]
 [ 0.         -3.10556213]]",[0.12077695 0.87922305],0.9278961245298445,1.077706839767964,0.7071072413781733,1.4142135623783025,0.0,2,0.4749325533202837,2.105562132999594,1.5841746520246496,5.084779849809317,2,0.5118380611417331
2,6,"[[-0.36942323  0.        ]
 [ 0.         -1.54430674]]","[[3.69423230e-01 0.00000000e+00]
 [1.14929632e-17 1.54430674e+00]]","[[-1.67695743  0.        ]
 [ 0.         -2.96330926]]",[0.66400837 0.33599163],1.6772310538453463,0.5962207757287373,1.3243125589205949,2.808433010841834,0.2149053883931275,2,0.5093441073534697,1.9633092551044862,1.0560527199421794,2.236319441814062,2,0.30368153879914694
4,10,[[-1.16899898]],[[1.16899898]],"[[-1.28285223  0.        ]
 [ 0.         -2.83119235]]",[0.45245595 0.54754405],0.8554327378372333,1.1689989823492986,1.0,2.0000000000000004,0.0,1,0.5460922766789744,1.8311923510096804,1.1410299243707451,2.6110886759132494,2,0.6383813157065327
0,3,"[[-1.72886935  1.72886806]
 [ 0.         -1.72887288]]","[[0.00000000e+00 1.28583613e-06]
 [1.72887288e+00 3.06869091e-18]]",[[-4.12291936]],[1.],1.1568233711480955,0.8644362008415725,0.7071073070929195,1.41421356237766,3.7187087072290624e-07,2,0.2425465822792253,4.122919360903534,1.0,2.0,1,0.20966604611256137
