,net_size,num_packets,elapsed,delay_error,delivery_prob_error,last_system_size_error
568,6,750,0.004542114009382203,0.00440793257222417,0.009104344938931608,0.08788637073225432
569,6,750,0.004385284002637491,0.08076944420495251,0.004918479966252066,0.05364765704396097
570,6,750,0.004540228022960946,0.016051541318669968,0.010486162155331321,0.013769454380452507
571,6,750,0.004531415994279087,0.04104792022328734,0.004722604697273793,0.19503414529170504
572,6,750,0.004496336012380198,0.01776821224804876,0.0008514458142228539,0.019620213200757918
573,6,1000,0.005168385017896071,0.012975016243897181,0.002421600887883862,0.03713456216418035
574,6,1000,0.005251380003755912,0.01159297225748989,0.0002378529921198124,0.10138298475383467
575,6,1000,0.005232376017374918,0.0006467426709539035,0.0024582655110163554,0.01170428430896099
576,6,1000,0.005244058993412182,0.035727265824880575,0.011147313519761856,0.04647489168894921
577,6,1000,0.015417663002153859,0.03691288695516036,0.003386631438427692,0.22555566353527215
578,6,1000,0.005228847003309056,0.031483594200662095,0.0016090189065084992,0.24981953930419112
579,6,1000,0.005343372002243996,0.03090453603108562,0.010037038052519985,0.11142402697650425
580,6,1000,0.005288914981065318,0.01548823711885189,0.021528702775611582,0.003262035249370977
581,6,1000,0.005124800984049216,0.0060329217332726545,0.004918479966252066,0.0912489083254028
582,6,1000,0.00518393301172182,0.007540464592591858,0.000306645399908242,0.0763621523732585
583,6,1000,0.005215094017330557,0.022355855204355853,0.00595661889183705,0.08889909118266233
584,6,1000,0.005165687995031476,0.006425143319113107,0.009924072518855602,0.15857811921255963
585,6,1000,0.005223293002927676,0.0010165121793458195,0.0074975366322185665,0.032922806067495224
586,6,1000,0.00529781702789478,0.041338382046909025,0.012163541975560663,0.12348382752319473
587,6,1000,0.00519310001982376,0.05926340606848579,0.016177080837033782,0.017966806717212857
588,6,1000,0.005158095009392127,0.03783954146758136,0.009045995131693466,0.027981256046887625
589,6,1000,0.005169101001229137,0.008907387539707582,0.013139870489836308,0.05108073993782405
590,6,1000,0.00521427602507174,0.07336166861956003,0.0015242731234388887,0.10498738571122847
591,6,1000,0.005270385998301208,0.00795281148193596,0.00892003364305229,0.05122124776739063
592,6,1000,0.0052128820098005235,0.021215065989810048,0.018319909732894452,0.04594890662637585
593,6,2500,0.009810033981921151,0.009038669249418974,0.004574097341899423,0.01068123029056563
594,6,2500,0.009931544977007434,0.018991319519862188,0.00038322110665922724,0.11902499672988019
595,6,2500,0.00982246600324288,0.04108110295118386,0.013231926488760759,0.10897175703353269
596,6,2500,0.009893063019262627,0.04026351549850533,0.0008059007327674308,0.12480517272586347
597,6,2500,0.009959567978512496,0.0070180008706880025,0.006264446400383874,0.013035447369021758
598,6,2500,0.009823206986766309,0.008575798053441107,0.0024682777734871203,0.02239558656151196
599,6,2500,0.00967164000030607,0.0017658803890719915,0.006277250301477562,0.07706705093767714
600,6,2500,0.009903614991344512,0.01384717053347007,0.00546290928959766,0.0779102348641676
601,6,2500,0.00989922898588702,0.0177987905802653,2.3610995979150898e-05,0.05197314791422797
602,6,2500,0.009813790995394811,0.00172351296063398,0.00037766363845264224,0.01326432571561768
603,6,2500,0.009856007993221283,0.000516180201437374,0.0008590532664476473,0.018985588436433026
604,6,2500,0.009882615995593369,0.02353392940581659,0.002892152664829578,0.0846500001704315
605,6,2500,0.009786745999008417,0.00024011007047770058,0.015330014091730723,0.07894777147344263
